State_Code,State,LoanAmount
2,AK,7950000
1,AL,76113000
5,AR,111210000
4,AZ,455962112
6,CA,7225145000
8,CO,746844000
9,CT,190396000
10,DE,112970000
12,FL,1404678000
13,GA,442324000
19,IA,71720000
16,ID,30480000
17,IL,621669000
18,IN,298616987
20,KS,27324000
21,KY,24776000
22,LA,37577000
25,MA,202547000
24,MD,868917000
23,ME,50905000
26,MI,367507964
27,MN,235312000
29,MO,67087000
28,MS,17000000
30,MT,10885000
37,NC,829171928
38,ND,0
31,NE,5175000
33,NH,102912000
34,NJ,722546952
35,NM,13970000
32,NV,182463000
36,NY,292982000
39,OH,440901000
40,OK,3699000
41,OR,550868000
42,PA,860293968
44,RI,137129000
45,SC,280629000
46,SD,8769990
47,TN,91634984
48,TX,1014887969
49,UT,75025000
51,VA,788989000
50,VT,6255000
53,WA,1052354000
55,WI,192044000
54,WV,33600000
56,WY,57600000
